report_name,obj_url
Excess Bag Refund List Report (Restricted Report - OPS BI Tool Canned Report),/WFC/Repository/Ops_Analytics/OPS/Applications/OPS_BI_Tool/Restricted/Excess_Bag_Refund_List_Report.fex
Delay Code Changes Report (Restricted Report - OPS BI Tool Canned Report),/WFC/Repository/Ops_Analytics/OPS/Applications/OPS_BI_Tool/Restricted/Delay_Code_Changes_Report.fex
Block Time Report - WINTER (Restricted Report - OPS BI Tool Canned Report),/WFC/Repository/Ops_Analytics/OPS/Applications/OPS_BI_Tool/Restricted/BR_WINTER.fex
Block Time Report - SUMMER (Restricted Report - OPS BI Tool Canned Report),/WFC/Repository/Ops_Analytics/OPS/Applications/OPS_BI_Tool/Restricted/BR_SUMMER.fex
Sabre Upload File - WINTER (Restricted Report - OPS BI Tool Canned Report),/WFC/Repository/Ops_Analytics/OPS/Applications/OPS_BI_Tool/Restricted/BR_Sabre_WINTER.fex
Sabre Upload File - SUMMER (Restricted Report - OPS BI Tool Canned Report),/WFC/Repository/Ops_Analytics/OPS/Applications/OPS_BI_Tool/Restricted/BR_Sabre_SUMMER.fex
Optimal Block Time Report - WINTER (Restricted Report - OPS BI Tool Canned Report),/WFC/Repository/Ops_Analytics/OPS/Applications/OPS_BI_Tool/Restricted/OBR_WINTER.fex
Optimal Block Time Report - SUMMER (Restricted Report - OPS BI Tool Canned Report),/WFC/Repository/Ops_Analytics/OPS/Applications/OPS_BI_Tool/Restricted/OBR_SUMMER.fex
Optimal Sabre Upload File - WINTER (Restricted Report - OPS BI Tool Canned Report),/WFC/Repository/Ops_Analytics/OPS/Applications/OPS_BI_Tool/Restricted/OBR_Sabre_WINTER.fex
Optimal Sabre Upload File - SUMMER (Restricted Report - OPS BI Tool Canned Report),/WFC/Repository/Ops_Analytics/OPS/Applications/OPS_BI_Tool/Restricted/OBR_Sabre_SUMMER.fex
What is Percentile Report (Restricted Report - OPS BI Tool Canned Report),/WFC/Repository/Ops_Analytics/OPS/Applications/OPS_BI_Tool/Restricted/OBR_percentile.fex
Forecast Optimal Block Time Report (Restricted Report - OPS BI Tool Canned Report),/WFC/Repository/Ops_Analytics/OPS/Applications/OPS_BI_Tool/Restricted/OBR_forecast.fex
Optimal Block Time Report - Ad-hoc Requests (Restricted Report - OPS BI Tool Canned Report),/WFC/Repository/Ops_Analytics/OPS/Applications/OPS_BI_Tool/Restricted/OBR_adhoc.fex
CPCI Report (Restricted Report - OPS BI Tool Canned Report),/WFC/Repository/Ops_Analytics/OPS/Applications/OPS_BI_Tool/Restricted/CPCI_main.fex
ACF Engine Check Report (Restricted Report - OPS BI Tool Canned Report),/WFC/Repository/Ops_Analytics/OPS/Applications/OPS_BI_Tool/Restricted/ACF_Reports/ACF_Engine_Check.fex
Fuel SPIs Report (Restricted Report - OPS BI Tool Canned Report),/WFC/Repository/Ops_Analytics/OPS/Applications/OPS_BI_Tool/Restricted/ACF_Reports/Fuel_SPIs_Report_Data.fex
Crew Costs Report (Restricted Report - OPS BI Tool Canned Report),/WFC/Repository/Ops_Analytics/OPS/Applications/OPS_BI_Tool/Restricted/Crew_Costs.fex
Real-Time Dashboard,0
MEL Append Snapshot,/WFC/Repository/Ops_Analytics/OPS/Reports/ETLs/MEL_Append_Process/mel_append_v2.fex
OMI 7am Snapshot,/WFC/Repository/Ops_Analytics/ACM/Reports/SR4/OMI_Reports/OMI_Snapshot_ETLs/OMI_Snapshot_Append.fex
Premium Customer Watchlist,/WFC/Repository/Ops_Analytics/OPS/Reports/Customer_Reports/VIP_Alert_by_Aeroplane/vip_alert_by_aeroplane.fex
PAL CPA D0 & CF Reports (Daily),/WFC/Repository/Ops_Analytics/OPS/Reports/OTP_Reports/PAL_CPA_OTP_Report/PAL_CPA_OTP_Report.fex
PAL CPA D0 & CF Reports (Weekly),/WFC/Repository/Ops_Analytics/OPS/Reports/OTP_Reports/PAL_CPA_OTP_Report/PAL_CPA_OTP_Report.fex
PAL CPA D0 & CF Reports (Monthly),/WFC/Repository/Ops_Analytics/OPS/Reports/OTP_Reports/PAL_CPA_OTP_Report/PAL_CPA_OTP_Report.fex
ATPDR PED Fin Swap Update,/WFC/Repository/Ops_Analytics/OPS/Reports/Compliance_Reports/ATPDR_Fin_Swap_Report/ATPDR_Fin_Swap_Update.fex
Daily Carrier OPS Summary (Remediated),/WFC/Repository/Ops_Analytics/OPS/Reports/Remediated_Reports/Daily_Carrier_OPS_Summary/Data_Extract/Ops_Summary_Data_Extract.fex
Cargo Summary Report,/WFC/Repository/Ops_Analytics/OPS/Reports/Misc_Reports/Cargo_Summary_Report/opsis_summary_report_01_data.fex
Daily Operational Summary (Remediated),/WFC/Repository/Ops_Analytics/OPS/Reports/Remediated_Reports/OPR_Summary_Reports/oper_perf_summary_composer_daily.fex
Weekly Operational Summary (Remediated),/WFC/Repository/Ops_Analytics/OPS/Reports/Remediated_Reports/OPR_Summary_Reports/oper_perf_summary_composer_weekly.fex
Monthly Operational Summary (Remediated),/WFC/Repository/Ops_Analytics/OPS/Reports/Remediated_Reports/OPR_Summary_Reports/oper_perf_summary_composer_monthly.fex
Quarterly Operational Summary,/WFC/Repository/Ops_Analytics/OPS/Reports/Remediated_Reports/OPR_Summary_Reports/oper_perf_summary_composer_quarterly.fex
All Exec Summary schedule (2pg) (Remediated),/WFC/Repository/Ops_Analytics/OPS/Reports/Remediated_Reports/All_Exec_Operations_Summary/All_Exec_Summary_Composer_2pg.fex
OPS Summary for Yesterday,/WFC/Repository/Ops_Analytics/OPS/Reports/OTP_Reports/Daily_Yest_Report_Param/daily_yest.fex
Daily Travel Itinerary,/WFC/Repository/Ops_Analytics/OPS/Reports/Misc_Reports/FlightWatch_Reports/ftw_daily_gov_list.fex
BI Tool Crew Pairing Data Extract,/WFC/Repository/Ops_Analytics/OPS/Applications/OPS_BI_Tool/Flight_Ops_Reports/Monthly_Crew_Pairing/crew_pairing_review_hold_file.fex
BI Tool Hold Files for Monthly Crew Pairing,/WFC/Repository/Ops_Analytics/OPS/Applications/OPS_BI_Tool/Flight_Ops_Reports/Monthly_Crew_Pairing/crew_pairing_review_hold_file.fex
BI Tool Metrics and Dimensions Refresh,/WFC/Repository/Ops_Analytics/OPS/Applications/OPS_BI_Tool/Utility_Procedures/bi_tool_dimensions_load.fex
Daily Flight Tracking Report,/WFC/Repository/Ops_Analytics/OPS/Reports/OTP_Reports/Daily_Flight_Tracking_Report/flight_tracking_report.fex
DX Schedule Extract,/WFC/Repository/Ops_Analytics/OPS/Reports/ETLs/DX_Schedule_Extract/DX_Schedule_Extract.fex
Dynamic Distribution List Backup,/WFC/Repository/Ops_Analytics/OPS/Reports/ETLs/Dynamic_Distribution_List_Backup/Dynamic_Distribution_List_Backup.fex
FOPS App Data Extract,/WFC/Repository/Ops_Analytics/OPS/Reports/ETLs/FOPS_App/FOPS_APP_Data.fex
FOPS App Data Upload (Details),/WFC/Repository/Ops_Analytics/OPS/Reports/ETLs/FOPS_App/FOPS_APP_Data_Details.fex
FOPS App Data Upload (Fleet),/WFC/Repository/Ops_Analytics/OPS/Reports/ETLs/FOPS_App/FOPS_APP_Data_Fleet.fex
FOPS App Data Upload (System),/WFC/Repository/Ops_Analytics/OPS/Reports/ETLs/FOPS_App/FOPS_APP_Data_System.fex
HZTV Dashboard Upload (NEW),/WFC/Repository/Ops_Analytics/OPS/Reports/ETLs/Portal_Upload/portal_upload_otp_stats_v3.fex
HZTV Dashboard Upload (Station) (NEW),/WFC/Repository/Ops_Analytics/OPS/Reports/ETLs/Portal_Upload/portal_upload_stn_otp_stats_v3.fex
Daily IFG Delay Report,/WFC/Repository/Ops_Analytics/OPS/Reports/OTP_Reports/Daily_IFG_Delay_Report/ifg_daily_delays_rep.fex
OTP for Yesterday / Ponctualité pour hier,/WFC/Repository/Ops_Analytics/OPS/Reports/OTP_Reports/Daily_OTP_AM_Email/daily_am_email_td.fex
Overnight Aircraft,/WFC/Repository/Ops_Analytics/ACM/Reports/MOC/mel_acft_overnight.fex
Daily Uncoded Flights,/WFC/Repository/Ops_Analytics/OPS/Reports/OTP_Reports/Daily_Uncoded_Flights/Daily_Uncoded_Flights.fex
Daily VIP List (EXCEL),/WFC/Repository/Ops_Analytics/OPS/Reports/Customer_Reports/Aeroplan_Wkly_VIP_Listing/aeroplan_wkly_vip_listing.fex
Daily VIP List (PDF),/WFC/Repository/Ops_Analytics/OPS/Reports/Customer_Reports/Aeroplan_Wkly_VIP_Listing/aeroplan_wkly_vip_listing.fex
ACM WO Material Report,/WFC/Repository/Ops_Analytics/OPS/Applications/OPS_BI_Tool/ACM/ACM_WO_Material_Report.fex
Daily 2MM Alert,/WFC/Repository/Ops_Analytics/OPS/Reports/Customer_Reports/Aeroplan_Wkly_VIP_Listing/2MM_Alert.fex
Daily Delay Code Groundhandler SLA,/WFC/Repository/Ops_Analytics/OPS/Reports/OTP_Reports/Daily_SLA_Delay_Report/sla_daily_delays_rep.fex
Portal Upload AC,/WFC/Repository/Ops_Analytics/OPS/Reports/ETLs/Portal_Upload/portal_upload_otp_stats.fex
IFS VER Report,/WFC/Repository/Ops_Analytics/OPS/Reports/FOPs_Reports/Flight_Ops_Reports/VER_Reports/IFS_500E_VER_data.fex
IFS VER Report,/WFC/Repository/Ops_Analytics/OPS/Reports/FOPs_Reports/Flight_Ops_Reports/VER_Reports/IFS_500E_VER_report.fex
IFS VER Report,/WFC/Repository/Ops_Analytics/OPS/Reports/FOPs_Reports/Flight_Ops_Reports/VER_Reports/IFS_500E_VER_report_PLN_ACTL.fex
Real Time Dashboard - Daily ETL,/WFC/Repository/Ops_Analytics/OPS/Applications/OPS_Real-Time_Dashboard/Utility_Procedures/dash_data_ETL.fex
