master_name,master_file_path,created_by_proc_name,created_by_proc_path,used_in_proc_name,used_in_proc_path
BI_FLEET_CARR_TD,output\EDA\EDASERVE\ops_analytics\apps\ops_bi_tool\data\bi_fleet_carr_td.mas,bi_tool_dimensions_load.fex,output\WFC\Repository\Ops_Analytics\OPS\Applications\OPS_BI_Tool\Utility_Procedures\bi_tool_dimensions_load.fex,,
BI_FLEET_CARR_TD,output\EDA\EDASERVE\ops_analytics\apps\ops_bi_tool\data\bi_fleet_carr_td.mas,bi_tool_dimensions_load.fex,output\WFC\Repository\Ops_Analytics\~tp038123\bi_tool_dimensions_load.fex,,
BI_FLEET_SERIES_FIN_TRAX,output\EDA\EDASERVE\ops_analytics\apps\ops_bi_tool\data\bi_fleet_series_fin_trax.mas,bi_tool_dimensions_load.fex,output\WFC\Repository\Ops_Analytics\OPS\Applications\OPS_BI_Tool\Utility_Procedures\bi_tool_dimensions_load.fex,,
BI_FLEET_SERIES_FIN_TRAX,output\EDA\EDASERVE\ops_analytics\apps\ops_bi_tool\data\bi_fleet_series_fin_trax.mas,bi_tool_dimensions_load.fex,output\WFC\Repository\Ops_Analytics\~tp038123\bi_tool_dimensions_load.fex,,
BI_FLEET_TD,output\EDA\EDASERVE\ops_analytics\apps\ops_bi_tool\data\bi_fleet_td.mas,bi_tool_dimensions_load.fex,output\WFC\Repository\Ops_Analytics\OPS\Applications\OPS_BI_Tool\Utility_Procedures\bi_tool_dimensions_load.fex,,
BI_FLEET_TD,output\EDA\EDASERVE\ops_analytics\apps\ops_bi_tool\data\bi_fleet_td.mas,bi_tool_dimensions_load.fex,output\WFC\Repository\Ops_Analytics\~tp038123\bi_tool_dimensions_load.fex,,
BI_FLIGHT_NUM_TD,output\EDA\EDASERVE\ops_analytics\apps\ops_bi_tool\data\bi_flight_num_td.mas,bi_tool_dimensions_load.fex,output\WFC\Repository\Ops_Analytics\OPS\Applications\OPS_BI_Tool\Utility_Procedures\bi_tool_dimensions_load.fex,,
BI_FLIGHT_NUM_TD,output\EDA\EDASERVE\ops_analytics\apps\ops_bi_tool\data\bi_flight_num_td.mas,bi_tool_dimensions_load.fex,output\WFC\Repository\Ops_Analytics\~tp038123\bi_tool_dimensions_load.fex,,
BI_MEASURES_HOLD,output\EDA\EDASERVE\ops_analytics\apps\ops_bi_tool\data\bi_measures_hold.mas,bi_tool_guided_metrics.fex,output\WFC\Repository\Ops_Analytics\OPS\Applications\OPS_BI_Tool\Utility_Procedures\bi_tool_guided_metrics.fex,,
BI_QA_STATIONS_TD,output\EDA\EDASERVE\ops_analytics\apps\ops_bi_tool\data\bi_qa_stations_td.mas,bi_tool_dimensions_load.fex,output\WFC\Repository\Ops_Analytics\OPS\Applications\OPS_BI_Tool\Utility_Procedures\bi_tool_dimensions_load.fex,,
BI_QA_STATIONS_TD,output\EDA\EDASERVE\ops_analytics\apps\ops_bi_tool\data\bi_qa_stations_td.mas,bi_tool_dimensions_load.fex,output\WFC\Repository\Ops_Analytics\~tp038123\bi_tool_dimensions_load.fex,,
BI_STN_TD,output\EDA\EDASERVE\ops_analytics\apps\ops_bi_tool\data\bi_stn_td.mas,bi_tool_dimensions_load.fex,output\WFC\Repository\Ops_Analytics\OPS\Applications\OPS_BI_Tool\Utility_Procedures\bi_tool_dimensions_load.fex,,
BI_STN_TD,output\EDA\EDASERVE\ops_analytics\apps\ops_bi_tool\data\bi_stn_td.mas,bi_tool_dimensions_load.fex,output\WFC\Repository\Ops_Analytics\~tp038123\bi_tool_dimensions_load.fex,,
BI_TGT_ACM_FLEET_TD,output\EDA\EDASERVE\ops_analytics\apps\ops_bi_tool\data\bi_tgt_acm_fleet_td.mas,bi_tool_target_metrics.fex,output\WFC\Repository\Ops_Analytics\OPS\Applications\OPS_BI_Tool\Utility_Procedures\bi_tool_target_metrics.fex,,
BI_TGT_MEASURES_HOLD_FINAL,output\EDA\EDASERVE\ops_analytics\apps\ops_bi_tool\data\bi_tgt_measures_hold_final.mas,bi_tool_target_metrics.fex,output\WFC\Repository\Ops_Analytics\OPS\Applications\OPS_BI_Tool\Utility_Procedures\bi_tool_target_metrics.fex,,
BI_TGT_PAWOB_REGIONS_TD,output\EDA\EDASERVE\ops_analytics\apps\ops_bi_tool\data\bi_tgt_pawob_regions_td.mas,bi_tool_target_metrics.fex,output\WFC\Repository\Ops_Analytics\OPS\Applications\OPS_BI_Tool\Utility_Procedures\bi_tool_target_metrics.fex,,
BI_TOOL_SAVED_REPORTS,output\EDA\EDASERVE\ops_analytics\apps\ops_bi_tool\data\bi_tool_saved_reports.mas,bi_tool_report_storage.fex,output\WFC\Repository\Ops_Analytics\OPS\Applications\OPS_BI_Tool\bi_tool_report_storage.fex,,
BI_WO_CATEGORIES_PRIORITIES_TRAX,output\EDA\EDASERVE\ops_analytics\apps\ops_bi_tool\data\bi_wo_categories_priorities_trax.mas,bi_tool_dimensions_load.fex,output\WFC\Repository\Ops_Analytics\OPS\Applications\OPS_BI_Tool\Utility_Procedures\bi_tool_dimensions_load.fex,,
BI_WO_CATEGORIES_PRIORITIES_TRAX,output\EDA\EDASERVE\ops_analytics\apps\ops_bi_tool\data\bi_wo_categories_priorities_trax.mas,bi_tool_dimensions_load.fex,output\WFC\Repository\Ops_Analytics\~tp038123\bi_tool_dimensions_load.fex,,
ATA-SUB_TARGET_L,output\EDA\EDASERVE\ops_analytics\apps\pmfcustom\ata-sub_target_l.mas,,,,
ATA_TARGET_L,output\EDA\EDASERVE\ops_analytics\apps\pmfcustom\ata_target_l.mas,,,,
DATE_DIM_C_PMF,output\EDA\EDASERVE\ops_analytics\apps\pmfcustom\date_dim_c_pmf.mas,,,,
F_AIRCRAFT_DIM,output\EDA\EDASERVE\ops_analytics\apps\pmfcustom\f_aircraft_dim.mas,prepare_aircraft_dim.fex,output\EDA\EDASERVE\ops_analytics\apps\pmfcustom\prepare_aircraft_dim.fex,,
HDELAYCODES,output\EDA\EDASERVE\ops_analytics\apps\pmfcustom\hdelaycodes.mas,,,,
HFLIGHTS,output\EDA\EDASERVE\ops_analytics\apps\pmfcustom\hflights.mas,,,,
