obj_url,output format
/ac_ops_11/OPS/Applications/OPS_BI_Tool/Restricted/BR_WINTER.fex,Excel/CSV
/ac_ops_11/OPS/Applications/OPS_BI_Tool/Restricted/BR_SUMMER.fex,Excel/CSV
/ac_ops_11/OPS/Applications/OPS_BI_Tool/Restricted/BR_Sabre_WINTER.fex,Excel/CSV
/ac_ops_11/OPS/Applications/OPS_BI_Tool/Restricted/BR_Sabre_SUMMER.fex,Excel/CSV
/ac_ops_11/OPS/Applications/OPS_BI_Tool/Restricted/OBR_WINTER.fex,Excel/CSV
/ac_ops_11/OPS/Applications/OPS_BI_Tool/Restricted/OBR_SUMMER.fex,Excel/CSV
/ac_ops_11/OPS/Applications/OPS_BI_Tool/Restricted/OBR_Sabre_WINTER.fex,Excel/CSV
/ac_ops_11/OPS/Applications/OPS_BI_Tool/Restricted/OBR_Sabre_SUMMER.fex,Excel/CSV
/ac_ops_11/OPS/Applications/OPS_BI_Tool/Restricted/OBR_percentile.fex,N/A
/ac_ops_11/OPS/Applications/OPS_BI_Tool/Restricted/OBR_forecast.fex,Excel/CSV
/ac_ops_11/OPS/Applications/OPS_BI_Tool/Restricted/OBR_adhoc.fex,Excel/CSV
/ac_ops_11/OPS/Applications/OPS_BI_Tool/Restricted/CPCI_main.fex,Excel/CSV
/ac_ops_11/procedures/utility_functions.fex,N/A
/ac_ops_11/OPS/Applications/OPS_BI_Tool/Restricted/ACF_Reports/ACF_Engine_Check.fex,Excel/CSV
/ac_ops_11/OPS/Applications/OPS_BI_Tool/Restricted/ACF_Reports/Fuel_SPIs_Report_Data.fex,N/A
/ac_ops_11/OPS/Applications/OPS_BI_Tool/Restricted/Crew_Costs.fex,Excel/CSV
/ac_ops_11/OPS/Reports/ETLs/MEL_Append_Process/mel_append_v2.fex,N/A
/ac_ops_11/ACM/Reports/SR4/OMI_Reports/OMI_Snapshot_ETLs/OMI_Snapshot_Append.fex,Excel/CSV
/ac_ops_11/ACM/Reports/SR4/OMI_Reports/OMI_Snapshot_ETLs/OMI_Snapshot_Staging.fex,Excel/CSV
/ac_ops_11/OPS/Reports/Customer_Reports/VIP_Alert_by_Aeroplane/vip_alert_by_aeroplane.fex,Web
/ac_ops_11/OPS/Reports/OTP_Reports/PAL_CPA_OTP_Report/PAL_CPA_OTP_Report.fex,N/A
/ac_ops_11/OPS/Reports/Compliance_Reports/ATPDR_Fin_Swap_Report/ATPDR_Fin_Swap_Update.fex,N/A
/ac_ops_11/OPS/Reports/Remediated_Reports/Daily_Carrier_OPS_Summary/Data_Extract/Ops_Summary_Data_Extract.fex,N/A
/ac_ops_11/OPS/Reports/Misc_Reports/Cargo_Summary_Report/opsis_summary_report_01_data.fex,Excel/CSV
/ac_ops_11/OPS/Reports/Remediated_Reports/OPR_Summary_Reports/oper_perf_summary_composer_daily.fex,PDF
/ac_ops_11/OPS/Reports/Remediated_Reports/OPR_Data/oper_perf_summary_parameters.fex,N/A
/ac_ops_11/OPS/Reports/Remediated_Reports/OPR_Data/oper_perf_summary_all_data.fex,N/A
/ac_ops_11/OPS/Reports/Remediated_Reports/OPR_Summary_Reports/Report_Components/oper_perf_summary_otp_sum.fex,N/A
/ac_ops_11/OPS/Reports/Remediated_Reports/OPR_Summary_Reports/Report_Components/oper_perf_summary_otp_mtd_sum.fex,PDF
/ac_ops_11/OPS/Reports/Remediated_Reports/OPR_Summary_Reports/Report_Components/oper_perf_summary_otp_ytd_sum_cargo.fex,PDF
/ac_ops_11/OPS/Reports/Remediated_Reports/OPR_Summary_Reports/Report_Components/oper_perf_summary_pax_sum.fex,Web
/ac_ops_11/OPS/Reports/Remediated_Reports/OPR_Summary_Reports/Report_Components/oper_perf_summary_mta_perf.fex,N/A
/ac_ops_11/OPS/Reports/Remediated_Reports/OPR_Summary_Reports/Report_Components/oper_perf_summary_mta_dly_code_sum.fex,PDF
/ac_ops_11/OPS/Reports/Remediated_Reports/OPR_Summary_Reports/Report_Components/oper_perf_summary_irrop_sum.fex,Web
/ac_ops_11/OPS/Reports/Remediated_Reports/OPR_Summary_Reports/Report_Components/oper_perf_summary_high_impact_delays.fex,PDF
/ac_ops_11/OPS/Reports/Remediated_Reports/OPR_Summary_Reports/Report_Components/oper_perf_summary_startup_delays.fex,PDF
/ac_ops_11/OPS/Reports/Remediated_Reports/OPR_Summary_Reports/Report_Components/oper_perf_summary_long_delays.fex,PDF
/ac_ops_11/OPS/Reports/Remediated_Reports/OPR_Summary_Reports/Report_Components/oper_perf_summary_gate_returns.fex,N/A
/ac_ops_11/OPS/Reports/Remediated_Reports/OPR_Summary_Reports/Report_Components/oper_perf_summary_time_on_ground.fex,PDF
/ac_ops_11/OPS/Reports/Remediated_Reports/OPR_Summary_Reports/Report_Components/oper_perf_summary_block_sum.fex,PDF
/ac_ops_11/OPS/Reports/Remediated_Reports/OPR_Summary_Reports/Report_Components/oper_perf_summary_dly_code_sum.fex,PDF
/ac_ops_11/OPS/Reports/Remediated_Reports/OPR_Summary_Reports/Report_Components/oper_perf_summary_hub_perf.fex,N/A
/ac_ops_11/OPS/Reports/Remediated_Reports/OPR_Summary_Reports/Report_Components/oper_perf_summary_hub_flt_phases.fex,PDF
/ac_ops_11/OPS/Reports/Remediated_Reports/OPR_Summary_Reports/Report_Components/oper_perf_summary_mtc_sum.fex,Web
/ac_ops_11/OPS/Reports/Remediated_Reports/OPR_Summary_Reports/Report_Components/oper_perf_summary_mel_sum.fex,PDF
/ac_ops_11/OPS/Reports/Remediated_Reports/OPR_Summary_Reports/Report_Components/oper_perf_summary_fuel_sum.fex,PDF
/ac_ops_11/OPS/Reports/Remediated_Reports/OPR_Summary_Reports/Report_Components/oper_perf_summary_fuel_2_sum.fex,PDF
/ac_ops_11/OPS/Reports/Remediated_Reports/OPR_Summary_Reports/Report_Components/oper_perf_summary_transatlantic_startup.fex,PDF
/ac_ops_11/OPS/Reports/Remediated_Reports/OPR_Summary_Reports/Report_Components/oper_perf_summary_line_of_flying.fex,PDF
/ac_ops_11/OPS/Reports/Remediated_Reports/OPR_Summary_Reports/Report_Components/oper_perf_summary_glossary.fex,Web
/ac_ops_11/OPS/Reports/Remediated_Reports/OPR_Data/oper_perf_summary_data_calendar.fex,N/A
/ac_ops_11/OPS/Reports/Remediated_Reports/OPR_Data/oper_perf_summary_data_mta_perf.fex,N/A
/ac_ops_11/OPS/Reports/Remediated_Reports/OPR_Data/oper_perf_summary_data_mel.fex,N/A
/ac_ops_11/OPS/Reports/Remediated_Reports/OPR_Data/oper_perf_summary_data_fuel.fex,N/A
/ac_ops_11/OPS/Reports/Remediated_Reports/OPR_Data/oper_perf_summary_data_fuel_2.fex,N/A
/ac_ops_11/OPS/Reports/Remediated_Reports/OPR_Data/oper_perf_summary_data_targets.fex,N/A
/ac_ops_11/OPS/Reports/Remediated_Reports/OPR_Data/oper_perf_summary_data_v2.fex,N/A
/ac_ops_11/OPS/Reports/Remediated_Reports/OPR_Data/oper_perf_summary_data_high_impact_delays.fex,N/A
/ac_ops_11/OPS/Reports/Remediated_Reports/OPR_Data/oper_perf_summary_data_dly_codes.fex,N/A
/ac_ops_11/OPS/Reports/Remediated_Reports/OPR_Data/oper_perf_summary_data_hub_thruput.fex,N/A
/ac_ops_11/OPS/Reports/Remediated_Reports/OPR_Data/oper_perf_summary_data_mtc.fex,N/A
/ac_ops_11/OPS/Reports/Remediated_Reports/OPR_Data/oper_perf_summary_data_fin_perf.fex,N/A
/ac_ops_11/OPS/Reports/ETLs/OPR_Data/oper_perf_summary_data.fex,N/A
/ac_ops_11/OPS/Reports/Remediated_Reports/OPR_Data/oper_perf_summary_data.fex,N/A
/ac_ops_11/OPS/Reports/ETLs/OPR_Data/oper_perf_summary_data_mta_perf.fex,N/A
/ac_ops_11/OPS/Reports/ETLs/OPR_Data/oper_perf_summary_data_dly_codes.fex,N/A
/ac_ops_11/OPS/Reports/ETLs/OPR_Data/oper_perf_summary_data_high_impact_delays.fex,N/A
/ac_ops_11/OPS/Reports/ETLs/OPR_Data/oper_perf_summary_data_hub_thruput.fex,N/A
/ac_ops_11/OPS/Reports/ETLs/OPR_Data/oper_perf_summary_data_mtc.fex,N/A
/ac_ops_11/OPS/Reports/ETLs/OPR_Data/oper_perf_summary_data_mel.fex,N/A
/ac_ops_11/OPS/Reports/ETLs/OPR_Data/oper_perf_summary_data_fuel.fex,N/A
/ac_ops_11/OPS/Reports/ETLs/OPR_Data/oper_perf_summary_data_fuel_2.fex,N/A
/ac_ops_11/OPS/Reports/ETLs/OPR_Data/oper_perf_summary_data_calendar.fex,N/A
/ac_ops_11/OPS/Reports/ETLs/OPR_Data/oper_perf_summary_parameters.fex,N/A
/ac_ops_11/OPS/Reports/Remediated_Reports/OPR_Summary_Reports/oper_perf_summary_composer_weekly.fex,PDF
/ac_ops_11/OPS/Reports/Remediated_Reports/OPR_Summary_Reports/Report_Components/oper_perf_summary_hub_ground_phase.fex,PDF
/ac_ops_11/OPS/Reports/Remediated_Reports/OPR_Summary_Reports/Report_Components/oper_perf_summary_skd_chain_sum.fex,PDF
/ac_ops_11/OPS/Reports/Remediated_Reports/OPR_Summary_Reports/Report_Components/oper_perf_summary_skd_chain_details.fex,PDF
/ac_ops_11/OPS/Reports/ETLs/OPR_Data/oper_perf_summary_data_fin_perf.fex,N/A
/ac_ops_11/OPS/Reports/Remediated_Reports/OPR_Data/oper_perf_summary_data_fin_perf_bkp20230623.fex,N/A
/ac_ops_11/OPS/Reports/Remediated_Reports/OPR_Summary_Reports/oper_perf_summary_composer_monthly.fex,PDF
/ac_ops_11/OPS/Reports/Remediated_Reports/OPR_Summary_Reports/oper_perf_summary_composer_quarterly.fex,PDF
/ac_ops_11/OPS/Reports/Remediated_Reports/All_Exec_Operations_Summary/All_Exec_Summary_Composer_2pg.fex,PDF
/ac_ops_11/OPS/Reports/Remediated_Reports/OPR_Data/oper_perf_summary_exec_data.fex,N/A
/ac_ops_11/OPS/Reports/Remediated_Reports/All_Exec_Operations_Summary/Report_Components/All_Exec_Summary_LWK.fex,Web
/ac_ops_11/OPS/Reports/Remediated_Reports/All_Exec_Operations_Summary/Report_Components/All_Exec_Summary_MTD_YTD.fex,Web
/ac_ops_11/OPS/Reports/Remediated_Reports/All_Exec_Operations_Summary/Report_Components/All_Exec_Summary_MEL.fex,Web
/ac_ops_11/OPS/Reports/Remediated_Reports/All_Exec_Operations_Summary/Report_Components/All_Exec_Summary_MTC.fex,Web
/ac_ops_11/OPS/Reports/Remediated_Reports/All_Exec_Operations_Summary/Report_Components/All_Exec_Summary_LWK_Daily.fex,PDF
/ac_ops_11/OPS/Reports/Remediated_Reports/All_Exec_Operations_Summary/Report_Components/All_Exec_Summary_HUB.fex,PDF
/ac_ops_11/OPS/Reports/Remediated_Reports/All_Exec_Operations_Summary/Report_Components/All_Exec_Summary_Perf_Monitor.fex,Web
/ac_ops_11/OPS/Reports/OTP_Reports/Daily_Yest_Report_Param/daily_yest.fex,PDF
/ac_ops_11/OPS/Reports/OTP_Reports/Daily_Yest_Report_Param/Report_Components/daily_yest_ops_summary.fex,PDF
/ac_ops_11/OPS/Reports/OTP_Reports/Daily_Yest_Report_Param/Report_Components/daily_yest_delay_cde.fex,PDF
/ac_ops_11/OPS/Reports/OTP_Reports/Daily_Yest_Report_Param/Report_Components/daily_yest_best_flt_hf.fex,PDF
/ac_ops_11/OPS/Reports/OTP_Reports/Daily_Yest_Report_Param/Report_Components/daily_yest_best_flt_lf.fex,PDF
/ac_ops_11/OPS/Reports/OTP_Reports/Daily_Yest_Report_Param/Report_Components/daily_yest_wrst_stn_hf.fex,PDF
/ac_ops_11/OPS/Reports/OTP_Reports/Daily_Yest_Report_Param/Report_Components/daily_yest_wrst_flt_hf.fex,PDF
/ac_ops_11/OPS/Reports/OTP_Reports/Daily_Yest_Report_Param/Report_Components/daily_yest_wrst_flt_lf.fex,PDF
/ac_ops_11/OPS/Reports/OTP_Reports/Daily_Yest_Report_Param/Report_Components/daily_yest_list.fex,PDF
/ac_ops_11/OPS/Reports/OTP_Reports/Daily_Startup_Report/Data_Extract/daily_ft_data_startup.fex,N/A
/ac_ops_11/OPS/Reports/OTP_Reports/Daily_Yest_Report_Param/Data_Extract/daily_ft_data_yest.fex,N/A
/ac_ops_11/OPS/Reports/Misc_Reports/FlightWatch_Reports/ftw_daily_gov_list.fex,PDF
/ac_ops_11/OPS/Applications/OPS_BI_Tool/Flight_Ops_Reports/Monthly_Crew_Pairing/crew_pairing_review_hold_file.fex,N/A
/ac_ops_11/OPS/Applications/OPS_BI_Tool/Utility_Procedures/data_load_realtime.fex,N/A
/ac_ops_11/OPS/Reports/OTP_Reports/Daily_Flight_Tracking_Report/flight_tracking_report.fex,Excel/CSV
/ac_ops_11/OPS/Reports/ETLs/DX_Schedule_Extract/DX_Schedule_Extract.fex,Excel/CSV
/ac_ops_11/OPS/Reports/ETLs/Dynamic_Distribution_List_Backup/Dynamic_Distribution_List_Backup.fex,N/A
/ac_ops_11/OPS/Reports/ETLs/FOPS_App/FOPS_APP_Data.fex,N/A
/ac_ops_11/OPS/Reports/ETLs/FOPS_App/FOPS_APP_Data_Details.fex,Excel/CSV
/ac_ops_11/OPS/Reports/FOPs_Reports/Flight_Ops_Reports/FOPS_App/FOPS_APP_Data.fex,N/A
/ac_ops_11/OPS/Reports/ETLs/FOPS_App/FOPS_APP_Data_Fleet.fex,Excel/CSV
/ac_ops_11/OPS/Reports/ETLs/FOPS_App/FOPS_APP_Data_System.fex,Excel/CSV
/ac_ops_11/OPS/Reports/ETLs/Portal_Upload/portal_upload_otp_stats_v3.fex,JSON/XML
/ac_ops_11/OPS/Reports/ETLs/Portal_Upload/portal_upload_otp_mtd_extract.fex,N/A
/ac_ops_11/OPS/Reports/ETLs/Portal_Upload/portal_upload_stn_otp_stats_v3.fex,JSON/XML
/ac_ops_11/OPS/Reports/OTP_Reports/Daily_IFG_Delay_Report/ifg_daily_delays_rep.fex,PDF
/ac_ops_11/OPS/Reports/OTP_Reports/Daily_OTP_AM_Email/daily_am_email_td.fex,Web
/ac_ops_11/ACM/Reports/MOC/mel_acft_overnight.fex,PDF
/ac_ops_11/OPS/Reports/OTP_Reports/Daily_Uncoded_Flights/Daily_Uncoded_Flights.fex,Excel/CSV
/ac_ops_11/OPS/Reports/Customer_Reports/Aeroplan_Wkly_VIP_Listing/aeroplan_wkly_vip_listing.fex,PDF
/ac_ops_11/OPS/Applications/OPS_BI_Tool/ACM/ACM_WO_Material_Report.fex,Excel/CSV
/ac_ops_11/OPS/Reports/Customer_Reports/Aeroplan_Wkly_VIP_Listing/2MM_Alert.fex,N/A
/ac_ops_11/OPS/Reports/OTP_Reports/Daily_SLA_Delay_Report/sla_daily_delays_rep.fex,N/A
/ac_ops_11/OPS/Reports/ETLs/Portal_Upload/portal_upload_otp_stats.fex,JSON/XML
/ac_ops_11/OPS/Applications/OPS_Real-Time_Dashboard/Utility_Procedures/dash_data_sum_gdgt.fex,N/A
/ac_ops_11/OPS/Applications/OPS_Real-Time_Dashboard/Utility_Procedures/dash_data_trax.fex,N/A
/ac_ops_11/OPS/Reports/FOPs_Reports/Flight_Ops_Reports/VER_Reports/IFS_500E_VER_data.fex,N/A
/ac_ops_11/OPS/Reports/FOPs_Reports/Flight_Ops_Reports/VER_Reports/IFS_500E_VER_report.fex,Excel/CSV
/ac_ops_11/OPS/Reports/FOPs_Reports/Flight_Ops_Reports/VER_Reports/IFS_500E_VER_report_PLN_ACTL.fex,Excel/CSV
/ac_ops_11/OPS/Reports/FOPs_Reports/Flight_Ops_Reports/VER_Reports/IFS_500E_VER_data_test.fex,N/A
