Procedure Name,Procedure Path,Master Name,Master Path
ftw_weekly_netline_extract.fex,/output/Misc_Reports/FlightWatch_Reports/ftw_weekly_netline_extract.fex,ftw_aircraft_info,/output/ops/ftw_aircraft_info.mas
SITA_mtd_PAWOB_CPA.fex,/output/Compliance_Reports/CPA_Report_Monthly/SITA_mtd_PAWOB_CPA.fex,sita_file,/output/airport/sita_file.mas
SITA_mtd_PAWOB_CPA.fex,/output/Compliance_Reports/CPA_Report_Monthly/SITA_mtd_PAWOB_CPA.fex,calendar,/output//calendar.mas
SITA_mtd_PAWOB_CPA.fex,/output/Compliance_Reports/CPA_Report_Monthly/SITA_mtd_PAWOB_CPA.fex,targets_pawob_stn,/output/ops/targets_pawob_stn.mas
SITA_mtd_PAWOB_CPA.fex,/output/Compliance_Reports/CPA_Report_Monthly/SITA_mtd_PAWOB_CPA.fex,leg_flown,/output/ops/leg_flown.mas
YTZ_Daily_Flight_Details.fex,/output/Station_Reports/YTZ_Daily_Flight_Details/YTZ_Daily_Flight_Details.fex,leg_flown,/output/ops/leg_flown.mas
yyz_cnx_pawob_breakdown_SITA.fex,/output/Baggage_Reports/YYZ_CNX_PAWOB_breakdown/yyz_cnx_pawob_breakdown_SITA.fex,sita_file_psgr_flight_leg,/output/airport/sita_file_psgr_flight_leg.mas
yyz_cnx_pawob_breakdown_SITA.fex,/output/Baggage_Reports/YYZ_CNX_PAWOB_breakdown/yyz_cnx_pawob_breakdown_SITA.fex,sita_file,/output/airport/sita_file.mas
baggage_performace_overall.fex,/output/Baggage_Reports/Baggage_Performance_by_Station/baggage_performace_overall.fex,soc_station_dim_c,/output/ops/soc_station_dim_c.mas
CPA_MNTHLY_REPORT.fex,/output/Compliance_Reports/CPA_Report_Monthly/CPA_MNTHLY_REPORT.fex,claim,/output/airport/claim.mas
CPA_MNTHLY_REPORT.fex,/output/Compliance_Reports/CPA_Report_Monthly/CPA_MNTHLY_REPORT.fex,calendar,/output//calendar.mas
CPA_MNTHLY_REPORT.fex,/output/Compliance_Reports/CPA_Report_Monthly/CPA_MNTHLY_REPORT.fex,targets_pawob_stn,/output/ops/targets_pawob_stn.mas
CPA_MNTHLY_REPORT.fex,/output/Compliance_Reports/CPA_Report_Monthly/CPA_MNTHLY_REPORT.fex,leg_flown,/output/ops/leg_flown.mas
crewfops_radiation_report.fex,/output/IFS_Reports/Crew_Radiation/crewfops_radiation_report.fex,fops_xcrew_crew_member,/output/fops/fops_xcrew_crew_member.mas
fops_blockoverfly_underfly.fex,/output/FOPs_Reports/FOPS_Blockoverfly_monthly_report/fops_blockoverfly_underfly.fex,fops_blk_month,/output/fops/fops_blk_month.mas
FOPS_Synthetics.fex,/output/FOPs_Reports/FOPS_Metrics/FOPS_Synthetics.fex,pbs_pb,/output/fops/pbs_pb.mas
FOPS_Synthetics.fex,/output/FOPs_Reports/FOPS_Metrics/FOPS_Synthetics.fex,pbs_pb_dpg_dea_thg_hold,/output/fops/pbs_pb_dpg_dea_thg_hold.mas
FOPS_Synthetics.fex,/output/FOPs_Reports/FOPS_Metrics/FOPS_Synthetics.fex,pbs_ps,/output/fops/pbs_ps.mas
